Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_Search_Element,Chrome 121.0.0.0,,,10-02-2024 22:24:40,10-02-2024 22:26:03,1m - 23.714s,ERROR
,,,,,,,
Test Cases/Amazon_Data_Driven/Amazon_TC_Search,Chrome 121.0.0.0,,,10-02-2024 22:24:56,10-02-2024 22:25:00,3.842s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,10-02-2024 22:24:56,10-02-2024 22:24:57,1.005s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,10-02-2024 22:24:57,10-02-2024 22:24:58,1.026s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,10-02-2024 22:24:58,10-02-2024 22:24:59,1.352s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Amazon_Search_Item_OR/Page_Online Shopping site in India Shop Onl_10c5f3/select_All Categories        Alexa Skills  _a62561""), groovy.lang.Category, true)",Chrome 121.0.0.0,,,10-02-2024 22:24:59,10-02-2024 22:24:59,0.087s,ERROR
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,10-02-2024 22:24:59,10-02-2024 22:25:00,0.217s,PASSED
,,,,,,,
Test Cases/Amazon_Data_Driven/Amazon_TC_Search,Chrome 121.0.0.0,,,10-02-2024 22:25:12,10-02-2024 22:25:16,4.055s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,10-02-2024 22:25:12,10-02-2024 22:25:13,1.043s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,10-02-2024 22:25:13,10-02-2024 22:25:14,1.211s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,10-02-2024 22:25:14,10-02-2024 22:25:15,1.313s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Amazon_Search_Item_OR/Page_Online Shopping site in India Shop Onl_10c5f3/select_All Categories        Alexa Skills  _a62561""), groovy.lang.Category, true)",Chrome 121.0.0.0,,,10-02-2024 22:25:15,10-02-2024 22:25:15,0.097s,ERROR
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,10-02-2024 22:25:15,10-02-2024 22:25:16,0.229s,PASSED
,,,,,,,
Test Cases/Amazon_Data_Driven/Amazon_TC_Search,Chrome 121.0.0.0,,,10-02-2024 22:25:28,10-02-2024 22:25:32,4.051s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,10-02-2024 22:25:28,10-02-2024 22:25:29,0.994s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,10-02-2024 22:25:29,10-02-2024 22:25:30,1.295s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,10-02-2024 22:25:30,10-02-2024 22:25:31,1.318s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Amazon_Search_Item_OR/Page_Online Shopping site in India Shop Onl_10c5f3/select_All Categories        Alexa Skills  _a62561""), groovy.lang.Category, true)",Chrome 121.0.0.0,,,10-02-2024 22:25:31,10-02-2024 22:25:31,0.104s,ERROR
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,10-02-2024 22:25:32,10-02-2024 22:25:32,0.220s,PASSED
,,,,,,,
Test Cases/Amazon_Data_Driven/Amazon_TC_Search,Chrome 121.0.0.0,,,10-02-2024 22:25:43,10-02-2024 22:25:47,4.032s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,10-02-2024 22:25:43,10-02-2024 22:25:44,0.998s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,10-02-2024 22:25:44,10-02-2024 22:25:46,1.292s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,10-02-2024 22:25:46,10-02-2024 22:25:47,1.301s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Amazon_Search_Item_OR/Page_Online Shopping site in India Shop Onl_10c5f3/select_All Categories        Alexa Skills  _a62561""), groovy.lang.Category, true)",Chrome 121.0.0.0,,,10-02-2024 22:25:47,10-02-2024 22:25:47,0.108s,ERROR
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,10-02-2024 22:25:47,10-02-2024 22:25:47,0.214s,PASSED
,,,,,,,
Test Cases/Amazon_Data_Driven/Amazon_TC_Search,Chrome 121.0.0.0,,,10-02-2024 22:26:00,10-02-2024 22:26:03,3.771s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,10-02-2024 22:26:00,10-02-2024 22:26:01,0.974s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,10-02-2024 22:26:01,10-02-2024 22:26:02,1.219s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,10-02-2024 22:26:02,10-02-2024 22:26:03,1.215s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Amazon_Search_Item_OR/Page_Online Shopping site in India Shop Onl_10c5f3/select_All Categories        Alexa Skills  _a62561""), groovy.lang.Category, true)",Chrome 121.0.0.0,,,10-02-2024 22:26:03,10-02-2024 22:26:03,0.098s,ERROR
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,10-02-2024 22:26:03,10-02-2024 22:26:03,0.185s,PASSED
