Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_SignIn,Chrome 121.0.0.0,,,10-02-2024 23:58:00,10-02-2024 23:58:50,49.351s,FAILED
,,,,,,,
Test Cases/Amazon_Data_Driven/Amazon_TC_SignIn,Chrome 121.0.0.0,,,10-02-2024 23:58:01,10-02-2024 23:58:09,8.802s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,10-02-2024 23:58:01,10-02-2024 23:58:03,1.904s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,10-02-2024 23:58:03,10-02-2024 23:58:04,1.046s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,10-02-2024 23:58:04,10-02-2024 23:58:05,1.146s,PASSED
"click(findTestObject(""Object Repository/Amazon_SignIn_OR/Page_Online Shopping site in India Shop Onl_10c5f3/span_Hello, sign in""))",Chrome 121.0.0.0,,,10-02-2024 23:58:05,10-02-2024 23:58:07,1.593s,PASSED
"setText(findTestObject(""Object Repository/Amazon_SignIn_OR/Page_Amazon Sign In/input_Email or mobile phone number_email""), Username)",Chrome 121.0.0.0,,,10-02-2024 23:58:07,10-02-2024 23:58:08,1.802s,PASSED
"click(findTestObject(""Object Repository/Amazon_SignIn_OR/Page_Amazon Sign In/input_Enter your email or mobile phone numb_fc7402""))",Chrome 121.0.0.0,,,10-02-2024 23:58:08,10-02-2024 23:58:09,0.779s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Amazon_SignIn_OR/Page_Amazon Sign In/input_Forgot Password_password""), Password)",Chrome 121.0.0.0,,,10-02-2024 23:58:09,10-02-2024 23:58:09,0.184s,FAILED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,10-02-2024 23:58:09,10-02-2024 23:58:09,0.157s,PASSED
,,,,,,,
Test Cases/Amazon_Data_Driven/Amazon_TC_SignIn,Chrome 121.0.0.0,,,10-02-2024 23:58:10,10-02-2024 23:58:17,7.953s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,10-02-2024 23:58:10,10-02-2024 23:58:10,0.856s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,10-02-2024 23:58:10,10-02-2024 23:58:11,1.034s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,10-02-2024 23:58:11,10-02-2024 23:58:13,1.345s,PASSED
"click(findTestObject(""Object Repository/Amazon_SignIn_OR/Page_Online Shopping site in India Shop Onl_10c5f3/span_Hello, sign in""))",Chrome 121.0.0.0,,,10-02-2024 23:58:13,10-02-2024 23:58:14,1.459s,PASSED
"setText(findTestObject(""Object Repository/Amazon_SignIn_OR/Page_Amazon Sign In/input_Email or mobile phone number_email""), Username)",Chrome 121.0.0.0,,,10-02-2024 23:58:14,10-02-2024 23:58:16,1.818s,PASSED
"click(findTestObject(""Object Repository/Amazon_SignIn_OR/Page_Amazon Sign In/input_Enter your email or mobile phone numb_fc7402""))",Chrome 121.0.0.0,,,10-02-2024 23:58:16,10-02-2024 23:58:17,1.022s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Amazon_SignIn_OR/Page_Amazon Sign In/input_Forgot Password_password""), Password)",Chrome 121.0.0.0,,,10-02-2024 23:58:17,10-02-2024 23:58:17,0.126s,FAILED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,10-02-2024 23:58:17,10-02-2024 23:58:17,0.253s,PASSED
,,,,,,,
Test Cases/Amazon_Data_Driven/Amazon_TC_SignIn,Chrome 121.0.0.0,,,10-02-2024 23:58:18,10-02-2024 23:58:25,7.671s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,10-02-2024 23:58:18,10-02-2024 23:58:18,0.797s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,10-02-2024 23:58:18,10-02-2024 23:58:19,0.942s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,10-02-2024 23:58:19,10-02-2024 23:58:21,1.247s,PASSED
"click(findTestObject(""Object Repository/Amazon_SignIn_OR/Page_Online Shopping site in India Shop Onl_10c5f3/span_Hello, sign in""))",Chrome 121.0.0.0,,,10-02-2024 23:58:21,10-02-2024 23:58:22,1.582s,PASSED
"setText(findTestObject(""Object Repository/Amazon_SignIn_OR/Page_Amazon Sign In/input_Email or mobile phone number_email""), Username)",Chrome 121.0.0.0,,,10-02-2024 23:58:22,10-02-2024 23:58:24,1.799s,PASSED
"click(findTestObject(""Object Repository/Amazon_SignIn_OR/Page_Amazon Sign In/input_Enter your email or mobile phone numb_fc7402""))",Chrome 121.0.0.0,,,10-02-2024 23:58:24,10-02-2024 23:58:25,1.012s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Amazon_SignIn_OR/Page_Amazon Sign In/input_Forgot Password_password""), Password)",Chrome 121.0.0.0,,,10-02-2024 23:58:25,10-02-2024 23:58:25,0.115s,FAILED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,10-02-2024 23:58:25,10-02-2024 23:58:25,0.150s,PASSED
,,,,,,,
Test Cases/Amazon_Data_Driven/Amazon_TC_SignIn,Chrome 121.0.0.0,,,10-02-2024 23:58:25,10-02-2024 23:58:33,7.647s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,10-02-2024 23:58:25,10-02-2024 23:58:26,0.839s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,10-02-2024 23:58:26,10-02-2024 23:58:27,1.057s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,10-02-2024 23:58:27,10-02-2024 23:58:28,1.250s,PASSED
"click(findTestObject(""Object Repository/Amazon_SignIn_OR/Page_Online Shopping site in India Shop Onl_10c5f3/span_Hello, sign in""))",Chrome 121.0.0.0,,,10-02-2024 23:58:28,10-02-2024 23:58:30,1.802s,PASSED
"setText(findTestObject(""Object Repository/Amazon_SignIn_OR/Page_Amazon Sign In/input_Email or mobile phone number_email""), Username)",Chrome 121.0.0.0,,,10-02-2024 23:58:30,10-02-2024 23:58:32,1.399s,PASSED
"click(findTestObject(""Object Repository/Amazon_SignIn_OR/Page_Amazon Sign In/input_Enter your email or mobile phone numb_fc7402""))",Chrome 121.0.0.0,,,10-02-2024 23:58:32,10-02-2024 23:58:33,0.993s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Amazon_SignIn_OR/Page_Amazon Sign In/input_Forgot Password_password""), Password)",Chrome 121.0.0.0,,,10-02-2024 23:58:33,10-02-2024 23:58:33,0.105s,FAILED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,10-02-2024 23:58:33,10-02-2024 23:58:33,0.164s,PASSED
,,,,,,,
Test Cases/Amazon_Data_Driven/Amazon_TC_SignIn,Chrome 121.0.0.0,,,10-02-2024 23:58:33,10-02-2024 23:58:41,7.902s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,10-02-2024 23:58:33,10-02-2024 23:58:34,0.836s,PASSED
